match_id,team,player,minute,x,y,xg,outcome,body_part,technique,play_pattern,distance_to_goal,is_zone0
3773497,Barcelona,Lionel Andrés Messi Cuccittini,69,97.2,34.9,0.07932068,Blocked,Left Foot,Normal,From Free Kick,23.363432966925043,False
3773497,Barcelona,Óscar Mingueza García,70,113.6,56.5,0.012394485,Wayward,Right Foot,Normal,Regular Play,17.69773996870787,True
3773497,Barcelona,Moriba Kourouma Kourouma,74,112.1,32.9,0.063872784,Saved,Head,Normal,From Throw In,10.62167595062098,True
3773497,Real Madrid,Francisco Román Alarcón Suárez,76,103.6,40.4,0.15727945,Blocked,Right Foot,Normal,From Corner,16.40487732352791,True
3773497,Real Madrid,Marcelo Vieira da Silva Júnior,76,102.2,29.5,0.045265324,Off T,Left Foot,Half Volley,From Corner,20.666155907667008,True
3773497,Real Madrid,Francisco Román Alarcón Suárez,81,102.3,49.2,0.04911825,Off T,Right Foot,Half Volley,From Throw In,19.948182874637983,True
3773497,Barcelona,Lionel Andrés Messi Cuccittini,90,98.3,52.5,0.06397319,Saved,Left Foot,Normal,From Free Kick,25.042763425788298,False
3773497,Barcelona,Moriba Kourouma Kourouma,91,101.3,29.1,0.05946907,Off T,Right Foot,Normal,From Goal Kick,21.644860821913365,True
3773497,Barcelona,Martin Braithwaite Christensen,92,109.4,31.2,0.046457313,Off T,Head,Normal,Regular Play,13.776792079435616,True
3773497,Barcelona,Moriba Kourouma Kourouma,93,108.1,39.1,0.070164755,Blocked,Right Foot,Volley,From Free Kick,11.933985084622828,True
3773497,Barcelona,Marc-André ter Stegen,93,102.0,41.1,0.057932165,Blocked,Right Foot,Half Volley,From Free Kick,18.033579788827286,True
3773497,Barcelona,Jordi Alba Ramos,93,100.6,33.2,0.04129878,Off T,Left Foot,Volley,From Free Kick,20.557237168452385,True
3773660,Barcelona,Philippe Coutinho Correia,0,108.3,46.6,0.09013731,Off T,Right Foot,Normal,From Throw In,13.43316790634287,True
3773660,Levante UD,Jorge De Frutos Sebastián,11,109.3,39.0,0.4531274,Saved,Left Foot,Normal,From Keeper,10.746627377926531,True
3773660,Barcelona,Lionel Andrés Messi Cuccittini,12,103.8,32.1,0.06609147,Blocked,Left Foot,Normal,From Throw In,18.023595645708436,True
3773660,Barcelona,Martin Braithwaite Christensen,15,105.0,25.1,0.042491257,Saved,Right Foot,Normal,From Throw In,21.142611002428247,True
3773660,Levante UD,Daniel Gómez Alcón,18,111.6,49.1,0.15519324,Off T,Right Foot,Half Volley,Regular Play,12.384264209067897,True
3773660,Barcelona,Antoine Griezmann,19,105.4,52.6,0.08913044,Saved,Right Foot,Normal,From Goal Kick,19.285227507084272,True
3773660,Barcelona,Antoine Griezmann,21,111.7,45.7,0.11785503,Saved,Head,Normal,From Free Kick,10.0687635785135,True
3773660,Barcelona,Clément Lenglet,21,114.8,32.4,0.41583925,Off T,Left Foot,Volley,From Free Kick,9.208691546577073,True
3773660,Levante UD,Jorge Andújar Moreno,24,100.2,57.3,0.025486808,Off T,Right Foot,Normal,From Goal Kick,26.293155002775908,False
3773660,Barcelona,Lionel Andrés Messi Cuccittini,25,107.8,38.6,0.038136665,Off T,Head,Normal,From Goal Kick,12.280065146407004,True
3773660,Levante UD,Daniel Gómez Alcón,27,94.7,45.3,0.03797323,Saved,Right Foot,Normal,From Corner,25.849177936638522,False
3773660,Barcelona,Lionel Andrés Messi Cuccittini,29,101.0,50.6,0.052133597,Wayward,Left Foot,Normal,Regular Play,21.756838005555863,True
3773660,Barcelona,Lionel Andrés Messi Cuccittini,36,92.5,49.6,0.037801396,Blocked,Left Foot,Normal,From Free Kick,29.127478435319457,False
3773660,Barcelona,Jordi Alba Ramos,37,101.4,29.1,0.03626696,Saved,Left Foot,Volley,From Corner,21.55852499592678,True
3773660,Barcelona,Antoine Griezmann,39,108.3,46.6,0.07884668,Saved,Right Foot,Volley,From Free Kick,13.43316790634287,True
3773660,Barcelona,Lionel Andrés Messi Cuccittini,42,90.6,38.4,0.033487294,Saved,Left Foot,Normal,From Free Kick,29.44350522611057,False
3773660,Barcelona,Jordi Alba Ramos,42,57.9,20.6,0.004744799,Saved,Left Foot,Normal,Regular Play,65.05974177630895,False
